algorithm,description,validation,Accuracy,Recall,Precision,Hamming,F,Cohen
Naive Bayes,GaussianNB,LOU,0.363636363636,0.363636363636,0.181818181818,0.636363636364,0.181818181818,
Naive Bayes,BernoulliNB,LOU,0.545454545455,0.545454545455,0.0,0.454545454545,0.0,
SVC,linear,LOU,0.636363636364,0.636363636364,0.0,0.363636363636,0.0,
SVC,poly,LOU,0.545454545455,0.545454545455,0.0909090909091,0.454545454545,0.0909090909091,
SVC,rbf,LOU,0.636363636364,0.636363636364,0.0,0.363636363636,0.0,
SVC,sigmoid,LOU,0.636363636364,0.636363636364,0.0,0.363636363636,0.0,
RandomForestClassifier,gini - 10,LOU,0.636363636364,0.636363636364,0.0909090909091,0.363636363636,0.0909090909091,
RandomForestClassifier,gini - 20,LOU,0.636363636364,0.636363636364,0.0,0.363636363636,0.0,
RandomForestClassifier,gini - 50,LOU,0.545454545455,0.545454545455,0.0,0.454545454545,0.0,
RandomForestClassifier,gini - 100,LOU,0.363636363636,0.363636363636,0.0,0.636363636364,0.0,
RandomForestClassifier,gini - 150,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,gini - 200,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,gini - 250,LOU,0.363636363636,0.363636363636,0.0,0.636363636364,0.0,
RandomForestClassifier,gini - 500,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,gini - 750,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,gini - 1000,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,gini - 1500,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,entropy - 10,LOU,0.636363636364,0.636363636364,0.0909090909091,0.363636363636,0.0909090909091,
RandomForestClassifier,entropy - 20,LOU,0.636363636364,0.636363636364,0.0,0.363636363636,0.0,
RandomForestClassifier,entropy - 50,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,entropy - 100,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,entropy - 150,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,entropy - 200,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,entropy - 250,LOU,0.363636363636,0.363636363636,0.0,0.636363636364,0.0,
RandomForestClassifier,entropy - 500,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,entropy - 750,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,entropy - 1000,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
RandomForestClassifier,entropy - 1500,LOU,0.454545454545,0.454545454545,0.0,0.545454545455,0.0,
NuSVC,kernel: linear,LOU,0.272727272727,0.272727272727,0.0,0.727272727273,0.0,
NuSVC,kernel: poly,LOU,0.545454545455,0.545454545455,0.0,0.454545454545,0.0,
NuSVC,kernel: rbf,LOU,0.363636363636,0.363636363636,0.0,0.636363636364,0.0,
NuSVC,kernel: sigmoid,LOU,0.454545454545,0.454545454545,0.272727272727,0.545454545455,0.272727272727,
GradientBoostingClassifier,GradientBoostingClassifier 10,LOU,0.636363636364,0.636363636364,0.181818181818,0.363636363636,0.181818181818,
GradientBoostingClassifier,GradientBoostingClassifier 20,LOU,0.636363636364,0.636363636364,0.0909090909091,0.363636363636,0.0909090909091,
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.636363636364,0.636363636364,0.181818181818,0.363636363636,0.181818181818,
GradientBoostingClassifier,GradientBoostingClassifier 100,LOU,0.636363636364,0.636363636364,0.0909090909091,0.363636363636,0.0909090909091,
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.636363636364,0.636363636364,0.181818181818,0.363636363636,0.181818181818,
GradientBoostingClassifier,GradientBoostingClassifier 200,LOU,0.636363636364,0.636363636364,0.181818181818,0.363636363636,0.181818181818,
GradientBoostingClassifier,GradientBoostingClassifier 250,LOU,0.636363636364,0.636363636364,0.0909090909091,0.363636363636,0.0909090909091,
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.545454545455,0.545454545455,0.0909090909091,0.454545454545,0.0909090909091,
GradientBoostingClassifier,GradientBoostingClassifier 750,LOU,0.454545454545,0.454545454545,0.0909090909091,0.545454545455,0.0909090909091,
GradientBoostingClassifier,GradientBoostingClassifier 1000,LOU,0.545454545455,0.545454545455,0.0909090909091,0.454545454545,0.0909090909091,
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.636363636364,0.636363636364,0.0909090909091,0.363636363636,0.0909090909091,
gini,DecisionTreeClassifier gini best,LOU,0.636363636364,0.636363636364,0.181818181818,0.363636363636,0.181818181818,
gini,DecisionTreeClassifier gini random,LOU,0.363636363636,0.363636363636,0.0909090909091,0.636363636364,0.0909090909091,
entropy,DecisionTreeClassifier entropy best,LOU,0.636363636364,0.636363636364,0.181818181818,0.363636363636,0.181818181818,
entropy,DecisionTreeClassifier entropy random,LOU,0.454545454545,0.454545454545,0.0909090909091,0.545454545455,0.0909090909091,
SAMME,10- AdaBoostClassifier,LOU,0.727272727273,0.727272727273,0.0909090909091,0.272727272727,0.0909090909091,
SAMME,20- AdaBoostClassifier,LOU,0.545454545455,0.545454545455,0.0,0.454545454545,0.0,
SAMME,50- AdaBoostClassifier,LOU,0.636363636364,0.636363636364,0.0909090909091,0.363636363636,0.0909090909091,
SAMME,100- AdaBoostClassifier,LOU,0.363636363636,0.363636363636,0.0,0.636363636364,0.0,
SAMME,150- AdaBoostClassifier,LOU,0.363636363636,0.363636363636,0.0,0.636363636364,0.0,
