algorithm,description,validation,Accuracy,Recall,Precision,Hamming,F,Cohen
Naive Bayes,GaussianNB,LOU,0.317073170732,0.317073170732,0.292682926829,0.682926829268,0.292682926829,
Naive Bayes,BernoulliNB,LOU,0.487804878049,0.487804878049,0.243902439024,0.512195121951,0.243902439024,
SVC,linear,LOU,0.0,0.0,0.0,1.0,0.0,0.0
SVC,poly,LOU,0.487804878049,0.487804878049,0.268292682927,0.512195121951,0.268292682927,
SVC,rbf,LOU,0.414634146341,0.414634146341,0.365853658537,0.585365853659,0.365853658537,
SVC,sigmoid,LOU,0.0975609756098,0.0975609756098,0.0487804878049,0.90243902439,0.0487804878049,
RandomForestClassifier,gini - 10,LOU,0.585365853659,0.585365853659,0.19512195122,0.414634146341,0.19512195122,
RandomForestClassifier,gini - 20,LOU,0.512195121951,0.512195121951,0.19512195122,0.487804878049,0.19512195122,
RandomForestClassifier,gini - 50,LOU,0.536585365854,0.536585365854,0.219512195122,0.463414634146,0.219512195122,
RandomForestClassifier,gini - 100,LOU,0.512195121951,0.512195121951,0.19512195122,0.487804878049,0.19512195122,
RandomForestClassifier,gini - 150,LOU,0.512195121951,0.512195121951,0.219512195122,0.487804878049,0.219512195122,
RandomForestClassifier,gini - 200,LOU,0.536585365854,0.536585365854,0.243902439024,0.463414634146,0.243902439024,
RandomForestClassifier,gini - 250,LOU,0.487804878049,0.487804878049,0.243902439024,0.512195121951,0.243902439024,
RandomForestClassifier,gini - 500,LOU,0.536585365854,0.536585365854,0.243902439024,0.463414634146,0.243902439024,
RandomForestClassifier,gini - 750,LOU,0.536585365854,0.536585365854,0.243902439024,0.463414634146,0.243902439024,
RandomForestClassifier,gini - 1000,LOU,0.536585365854,0.536585365854,0.243902439024,0.463414634146,0.243902439024,
RandomForestClassifier,gini - 1500,LOU,0.487804878049,0.487804878049,0.219512195122,0.512195121951,0.219512195122,
RandomForestClassifier,entropy - 10,LOU,0.585365853659,0.585365853659,0.19512195122,0.414634146341,0.19512195122,
RandomForestClassifier,entropy - 20,LOU,0.536585365854,0.536585365854,0.170731707317,0.463414634146,0.170731707317,
RandomForestClassifier,entropy - 50,LOU,0.512195121951,0.512195121951,0.19512195122,0.487804878049,0.19512195122,
RandomForestClassifier,entropy - 100,LOU,0.512195121951,0.512195121951,0.19512195122,0.487804878049,0.19512195122,
RandomForestClassifier,entropy - 150,LOU,0.512195121951,0.512195121951,0.19512195122,0.487804878049,0.19512195122,
RandomForestClassifier,entropy - 200,LOU,0.512195121951,0.512195121951,0.19512195122,0.487804878049,0.19512195122,
