algorithm,description,validation,accuracy,group,iterator
NuSVC,kernel: poly,LOU,0.8125,5,25
NuSVC,kernel: poly,LOU,0.8125,5,25
NuSVC,kernel: poly,LOU,0.8125,5,25
NuSVC,kernel: poly,LOU,0.8125,5,25
GradientBoostingClassifier,GradientBoostingClassifier 10,LOU,0.8125,5,29
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.8125,5,29
GradientBoostingClassifier,GradientBoostingClassifier 10,LOU,0.8125,5,29
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.8125,5,29
GradientBoostingClassifier,GradientBoostingClassifier 10,LOU,0.8125,5,29
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.8125,5,29
GradientBoostingClassifier,GradientBoostingClassifier 10,LOU,0.8125,5,29
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.8125,5,29
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.8125,5,32
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.8125,5,32
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.8125,5,32
SAMME,750- AdaBoostClassifier,LOU,0.8125,5,32
SAMME,1000- AdaBoostClassifier,LOU,0.8125,5,32
SAMME,1500- AdaBoostClassifier,LOU,0.8125,5,32
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.8125,5,32
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.8125,5,32
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.8125,5,32
SAMME,750- AdaBoostClassifier,LOU,0.8125,5,32
SAMME,1000- AdaBoostClassifier,LOU,0.8125,5,32
SAMME,1500- AdaBoostClassifier,LOU,0.8125,5,32
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.8125,5,32
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.8125,5,32
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.8125,5,32
SAMME,750- AdaBoostClassifier,LOU,0.8125,5,32
SAMME,1000- AdaBoostClassifier,LOU,0.8125,5,32
SAMME,1500- AdaBoostClassifier,LOU,0.8125,5,32
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.8125,5,32
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.8125,5,32
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.8125,5,32
SAMME,750- AdaBoostClassifier,LOU,0.8125,5,32
SAMME,1000- AdaBoostClassifier,LOU,0.8125,5,32
SAMME,1500- AdaBoostClassifier,LOU,0.8125,5,32
SAMME,10- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,20- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,50- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,150- AdaBoostClassifier,LOU,0.8125,5,71
SAMME,10- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,20- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,50- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,150- AdaBoostClassifier,LOU,0.8125,5,71
SAMME,10- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,20- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,50- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,150- AdaBoostClassifier,LOU,0.8125,5,71
GradientBoostingClassifier,GradientBoostingClassifier 10,LOU,0.84375,5,71
SAMME,10- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,20- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,50- AdaBoostClassifier,LOU,0.8125,5,71
SAMME.R,150- AdaBoostClassifier,LOU,0.8125,5,71
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 100,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 200,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 1000,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 100,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 200,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 1000,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 100,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 200,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 1000,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 100,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 200,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 1000,LOU,0.8125,5,90
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.8125,5,90
