Algorithm,Description,Accuracy_Mean
SAMME,10- AdaBoostClassifier,0.69
SAMME,20- AdaBoostClassifier,0.657272727273
SAMME,50- AdaBoostClassifier,0.647272727273
SAMME,100- AdaBoostClassifier,0.636363636364
SAMME,150- AdaBoostClassifier,0.729090909091
SAMME,200- AdaBoostClassifier,0.747272727273
SAMME,250- AdaBoostClassifier,0.762727272727
SAMME,500- AdaBoostClassifier,0.760909090909
SAMME,750- AdaBoostClassifier,0.764545454545
SAMME,1000- AdaBoostClassifier,0.770909090909
SAMME,1500- AdaBoostClassifier,0.765454545455
SAMME.R,10- AdaBoostClassifier,0.639090909091
SAMME.R,20- AdaBoostClassifier,0.667272727273
SAMME.R,50- AdaBoostClassifier,0.653636363636
SAMME.R,100- AdaBoostClassifier,0.673636363636
SAMME.R,150- AdaBoostClassifier,0.678181818182
SAMME.R,200- AdaBoostClassifier,0.695454545455
SAMME.R,250- AdaBoostClassifier,0.699090909091
SAMME.R,500- AdaBoostClassifier,0.710909090909
SAMME.R,750- AdaBoostClassifier,0.715454545455
SAMME.R,1000- AdaBoostClassifier,0.716363636364
SAMME.R,1500- AdaBoostClassifier,0.721818181818
Naive Bayes,GaussianNB,0.818181818182
Naive Bayes,BernoulliNB,0.0
SVC,linear,0.454545454545
SVC,poly,0.545454545455
SVC,rbf,0.454545454545
SVC,sigmoid,0.545454545455
RandomForestClassifier,gini - 10,0.636363636364
RandomForestClassifier,gini - 20,0.636363636364
RandomForestClassifier,gini - 50,0.818181818182
RandomForestClassifier,gini - 100,0.818181818182
RandomForestClassifier,gini - 150,0.818181818182
RandomForestClassifier,gini - 200,0.818181818182
RandomForestClassifier,gini - 250,0.818181818182
RandomForestClassifier,gini - 500,0.818181818182
RandomForestClassifier,gini - 750,0.818181818182
RandomForestClassifier,gini - 1000,0.818181818182
RandomForestClassifier,gini - 1500,0.818181818182
RandomForestClassifier,entropy - 10,0.545454545455
RandomForestClassifier,entropy - 20,0.636363636364
RandomForestClassifier,entropy - 50,0.818181818182
RandomForestClassifier,entropy - 100,0.818181818182
RandomForestClassifier,entropy - 150,0.818181818182
RandomForestClassifier,entropy - 200,0.818181818182
RandomForestClassifier,entropy - 250,0.818181818182
RandomForestClassifier,entropy - 500,0.818181818182
RandomForestClassifier,entropy - 750,0.818181818182
RandomForestClassifier,entropy - 1000,0.818181818182
RandomForestClassifier,entropy - 1500,0.818181818182
NuSVC,kernel: linear,0.636363636364
NuSVC,kernel: poly,0.545454545455
NuSVC,kernel: rbf,0.545454545455
NuSVC,kernel: sigmoid,0.545454545455
GradientBoostingClassifier,GradientBoostingClassifier 10,0.505454545455
GradientBoostingClassifier,GradientBoostingClassifier 20,0.505454545455
GradientBoostingClassifier,GradientBoostingClassifier 50,0.496363636364
GradientBoostingClassifier,GradientBoostingClassifier 100,0.511818181818
GradientBoostingClassifier,GradientBoostingClassifier 150,0.506363636364
