Algorithm,Description,tp
SAMME,10- AdaBoostClassifier,2.8
SAMME,20- AdaBoostClassifier,2.76
SAMME,50- AdaBoostClassifier,2.81
SAMME,100- AdaBoostClassifier,2.79
SAMME,150- AdaBoostClassifier,2.88
SAMME,200- AdaBoostClassifier,2.82
SAMME,250- AdaBoostClassifier,2.86
SAMME,500- AdaBoostClassifier,2.85
SAMME,750- AdaBoostClassifier,2.78
SAMME,1000- AdaBoostClassifier,2.82
SAMME,1500- AdaBoostClassifier,2.82
SAMME.R,10- AdaBoostClassifier,2.86
SAMME.R,20- AdaBoostClassifier,2.87
SAMME.R,50- AdaBoostClassifier,2.78
SAMME.R,100- AdaBoostClassifier,2.77
SAMME.R,150- AdaBoostClassifier,2.8
SAMME.R,200- AdaBoostClassifier,2.79
SAMME.R,250- AdaBoostClassifier,2.85
SAMME.R,500- AdaBoostClassifier,2.81
SAMME.R,750- AdaBoostClassifier,2.89
SAMME.R,1000- AdaBoostClassifier,2.85
SAMME.R,1500- AdaBoostClassifier,2.74
Naive Bayes,GaussianNB,3.0
Naive Bayes,BernoulliNB,3.0
RandomForestClassifier,gini - 10,3.0
RandomForestClassifier,gini - 20,3.0
RandomForestClassifier,gini - 50,3.0
RandomForestClassifier,gini - 100,3.0
RandomForestClassifier,gini - 150,3.0
RandomForestClassifier,gini - 200,3.0
RandomForestClassifier,gini - 250,3.0
RandomForestClassifier,gini - 500,3.0
RandomForestClassifier,gini - 750,3.0
RandomForestClassifier,gini - 1000,3.0
RandomForestClassifier,gini - 1500,3.0
RandomForestClassifier,entropy - 10,3.0
RandomForestClassifier,entropy - 20,3.0
RandomForestClassifier,entropy - 50,3.0
RandomForestClassifier,entropy - 100,3.0
RandomForestClassifier,entropy - 150,3.0
RandomForestClassifier,entropy - 200,3.0
RandomForestClassifier,entropy - 250,3.0
RandomForestClassifier,entropy - 500,3.0
RandomForestClassifier,entropy - 750,3.0
RandomForestClassifier,entropy - 1000,3.0
RandomForestClassifier,entropy - 1500,3.0
gini,DecisionTreeClassifier gini best,3.0
gini,DecisionTreeClassifier gini random,3.0
entropy,DecisionTreeClassifier entropy best,3.0
entropy,DecisionTreeClassifier entropy random,3.0
auto,minkowski-uniform KNN: 2,1.0
auto,minkowski-uniform KNN: 3,3.0
auto,euclidean-uniform KNN: 2,1.0
auto,euclidean-uniform KNN: 3,3.0
auto,minkowski-distance KNN: 2,3.0
auto,minkowski-distance KNN: 3,3.0
auto,euclidean-distance KNN: 2,3.0
auto,euclidean-distance KNN: 3,3.0
ball_tree,minkowski-uniform KNN: 2,1.0
ball_tree,minkowski-uniform KNN: 3,3.0
ball_tree,euclidean-uniform KNN: 2,1.0
ball_tree,euclidean-uniform KNN: 3,3.0
ball_tree,minkowski-distance KNN: 2,3.0
ball_tree,minkowski-distance KNN: 3,3.0
ball_tree,euclidean-distance KNN: 2,3.0
ball_tree,euclidean-distance KNN: 3,3.0
kd_tree,minkowski-uniform KNN: 2,1.0
kd_tree,minkowski-uniform KNN: 3,3.0
kd_tree,euclidean-uniform KNN: 2,1.0
kd_tree,euclidean-uniform KNN: 3,3.0
kd_tree,minkowski-distance KNN: 2,3.0
kd_tree,minkowski-distance KNN: 3,3.0
kd_tree,euclidean-distance KNN: 2,3.0
kd_tree,euclidean-distance KNN: 3,3.0
brute,minkowski-uniform KNN: 2,1.0
brute,minkowski-uniform KNN: 3,3.0
brute,euclidean-uniform KNN: 2,1.0
brute,euclidean-uniform KNN: 3,3.0
brute,minkowski-distance KNN: 2,3.0
brute,minkowski-distance KNN: 3,3.0
brute,euclidean-distance KNN: 2,3.0
brute,euclidean-distance KNN: 3,3.0
MLPClassifier,identity-lbfgs-constant (5-5-5),2.76
MLPClassifier,identity-lbfgs-constant (5-5-10),2.83
MLPClassifier,identity-lbfgs-constant (5-5-15),2.83
MLPClassifier,identity-lbfgs-constant (5-10-5),2.78
MLPClassifier,identity-lbfgs-constant (5-10-10),2.73
MLPClassifier,identity-lbfgs-constant (5-10-15),2.76
MLPClassifier,identity-lbfgs-constant (5-15-5),2.78
MLPClassifier,identity-lbfgs-constant (5-15-10),2.78
MLPClassifier,identity-lbfgs-constant (5-15-15),2.83
MLPClassifier,identity-lbfgs-constant (10-5-5),2.8
MLPClassifier,identity-lbfgs-constant (10-5-10),2.82
MLPClassifier,identity-lbfgs-constant (10-5-15),2.79
MLPClassifier,identity-lbfgs-constant (10-10-5),2.75
MLPClassifier,identity-lbfgs-constant (10-10-10),2.79
MLPClassifier,identity-lbfgs-constant (10-10-15),2.81
MLPClassifier,identity-lbfgs-constant (10-15-5),2.73
MLPClassifier,identity-lbfgs-constant (10-15-10),2.78
MLPClassifier,identity-lbfgs-constant (10-15-15),2.75
MLPClassifier,identity-lbfgs-constant (15-5-5),2.85
MLPClassifier,identity-lbfgs-constant (15-5-10),2.88
MLPClassifier,identity-lbfgs-constant (15-5-15),2.8
MLPClassifier,identity-lbfgs-constant (15-10-5),2.74
MLPClassifier,identity-lbfgs-constant (15-10-10),2.78
MLPClassifier,identity-lbfgs-constant (15-10-15),2.83
MLPClassifier,identity-lbfgs-constant (15-15-5),2.8
MLPClassifier,identity-lbfgs-constant (15-15-10),2.78
MLPClassifier,identity-lbfgs-constant (15-15-15),2.79
MLPClassifier,identity-lbfgs-invscaling (5-5-5),2.84
MLPClassifier,identity-lbfgs-invscaling (5-5-10),2.74
MLPClassifier,identity-lbfgs-invscaling (5-5-15),2.78
MLPClassifier,identity-lbfgs-invscaling (5-10-5),2.79
MLPClassifier,identity-lbfgs-invscaling (5-10-10),2.84
MLPClassifier,identity-lbfgs-invscaling (5-10-15),2.81
MLPClassifier,identity-lbfgs-invscaling (5-15-5),2.82
MLPClassifier,identity-lbfgs-invscaling (5-15-10),2.84
MLPClassifier,identity-lbfgs-invscaling (5-15-15),2.82
MLPClassifier,identity-lbfgs-invscaling (10-5-5),2.89
MLPClassifier,identity-lbfgs-invscaling (10-5-10),2.84
MLPClassifier,identity-lbfgs-invscaling (10-5-15),2.8
MLPClassifier,identity-lbfgs-invscaling (10-10-5),2.8
MLPClassifier,identity-lbfgs-invscaling (10-10-10),2.77
MLPClassifier,identity-lbfgs-invscaling (10-10-15),2.78
MLPClassifier,identity-lbfgs-invscaling (10-15-5),2.79
MLPClassifier,identity-lbfgs-invscaling (10-15-10),2.72
MLPClassifier,identity-lbfgs-invscaling (10-15-15),2.73
MLPClassifier,identity-lbfgs-invscaling (15-5-5),2.78
MLPClassifier,identity-lbfgs-invscaling (15-5-10),2.91
MLPClassifier,identity-lbfgs-invscaling (15-5-15),2.8
MLPClassifier,identity-lbfgs-invscaling (15-10-5),2.77
MLPClassifier,identity-lbfgs-invscaling (15-10-10),2.79
MLPClassifier,identity-lbfgs-invscaling (15-10-15),2.83
MLPClassifier,identity-lbfgs-invscaling (15-15-5),2.85
MLPClassifier,identity-lbfgs-invscaling (15-15-10),2.76
MLPClassifier,identity-lbfgs-invscaling (15-15-15),2.85
MLPClassifier,identity-lbfgs-adaptive (5-5-5),2.87
MLPClassifier,identity-lbfgs-adaptive (5-5-10),2.8
MLPClassifier,identity-lbfgs-adaptive (5-5-15),2.78
MLPClassifier,identity-lbfgs-adaptive (5-10-5),2.78
MLPClassifier,identity-lbfgs-adaptive (5-10-10),2.71
MLPClassifier,identity-lbfgs-adaptive (5-10-15),2.77
MLPClassifier,identity-lbfgs-adaptive (5-15-5),2.69
MLPClassifier,identity-lbfgs-adaptive (5-15-10),2.81
MLPClassifier,identity-lbfgs-adaptive (5-15-15),2.8
MLPClassifier,identity-lbfgs-adaptive (10-5-5),2.81
MLPClassifier,identity-lbfgs-adaptive (10-5-10),2.81
MLPClassifier,identity-lbfgs-adaptive (10-5-15),2.87
MLPClassifier,identity-lbfgs-adaptive (10-10-5),2.86
MLPClassifier,identity-lbfgs-adaptive (10-10-10),2.85
MLPClassifier,identity-lbfgs-adaptive (10-10-15),2.75
MLPClassifier,identity-lbfgs-adaptive (10-15-5),2.81
MLPClassifier,identity-lbfgs-adaptive (10-15-10),2.83
MLPClassifier,identity-lbfgs-adaptive (10-15-15),2.75
MLPClassifier,identity-lbfgs-adaptive (15-5-5),2.81
