Algorithm,Description,tp
GaussianNB,Naive Bayes algoritmo,4
BernoulliNB,Naive Bayes algoritmo,17
SAMME,AdaBoostClassifier con 10 estimadores,18
SAMME,AdaBoostClassifier con 20 estimadores,18
SAMME,AdaBoostClassifier con 50 estimadores,17
SAMME,AdaBoostClassifier con 100 estimadores,17
SAMME,AdaBoostClassifier con 150 estimadores,19
SAMME,AdaBoostClassifier con 200 estimadores,21
SAMME,AdaBoostClassifier con 250 estimadores,20
SAMME,AdaBoostClassifier con 500 estimadores,20
SAMME,AdaBoostClassifier con 750 estimadores,19
SAMME,AdaBoostClassifier con 1000 estimadores,19
SAMME,AdaBoostClassifier con 1500 estimadores,19
SAMME.R,AdaBoostClassifier con 10 estimadores,14
SAMME.R,AdaBoostClassifier con 20 estimadores,16
SAMME.R,AdaBoostClassifier con 50 estimadores,17
SAMME.R,AdaBoostClassifier con 100 estimadores,18
SAMME.R,AdaBoostClassifier con 150 estimadores,17
SAMME.R,AdaBoostClassifier con 200 estimadores,23
SAMME.R,AdaBoostClassifier con 250 estimadores,23
SAMME.R,AdaBoostClassifier con 500 estimadores,22
SAMME.R,AdaBoostClassifier con 750 estimadores,19
SAMME.R,AdaBoostClassifier con 1000 estimadores,20
SAMME.R,AdaBoostClassifier con 1500 estimadores,20
auto,KNN con 1 vecinos peso: uniform metrica: minkowski,19
auto,KNN con 2 vecinos peso: uniform metrica: minkowski,11
auto,KNN con 3 vecinos peso: uniform metrica: minkowski,20
auto,KNN con 4 vecinos peso: uniform metrica: minkowski,11
auto,KNN con 5 vecinos peso: uniform metrica: minkowski,22
auto,KNN con 6 vecinos peso: uniform metrica: minkowski,12
auto,KNN con 7 vecinos peso: uniform metrica: minkowski,21
auto,KNN con 8 vecinos peso: uniform metrica: minkowski,17
auto,KNN con 9 vecinos peso: uniform metrica: minkowski,22
auto,KNN con 1 vecinos peso: uniform metrica: euclidean,19
auto,KNN con 2 vecinos peso: uniform metrica: euclidean,11
auto,KNN con 3 vecinos peso: uniform metrica: euclidean,20
auto,KNN con 4 vecinos peso: uniform metrica: euclidean,11
auto,KNN con 5 vecinos peso: uniform metrica: euclidean,22
auto,KNN con 6 vecinos peso: uniform metrica: euclidean,12
auto,KNN con 7 vecinos peso: uniform metrica: euclidean,21
auto,KNN con 8 vecinos peso: uniform metrica: euclidean,17
auto,KNN con 9 vecinos peso: uniform metrica: euclidean,22
auto,KNN con 1 vecinos peso: distance metrica: minkowski,19
auto,KNN con 2 vecinos peso: distance metrica: minkowski,19
auto,KNN con 3 vecinos peso: distance metrica: minkowski,19
auto,KNN con 4 vecinos peso: distance metrica: minkowski,20
auto,KNN con 5 vecinos peso: distance metrica: minkowski,19
auto,KNN con 6 vecinos peso: distance metrica: minkowski,19
auto,KNN con 7 vecinos peso: distance metrica: minkowski,19
auto,KNN con 8 vecinos peso: distance metrica: minkowski,19
auto,KNN con 9 vecinos peso: distance metrica: minkowski,18
auto,KNN con 1 vecinos peso: distance metrica: euclidean,19
auto,KNN con 2 vecinos peso: distance metrica: euclidean,19
auto,KNN con 3 vecinos peso: distance metrica: euclidean,19
auto,KNN con 4 vecinos peso: distance metrica: euclidean,20
auto,KNN con 5 vecinos peso: distance metrica: euclidean,19
auto,KNN con 6 vecinos peso: distance metrica: euclidean,19
auto,KNN con 7 vecinos peso: distance metrica: euclidean,19
auto,KNN con 8 vecinos peso: distance metrica: euclidean,19
auto,KNN con 9 vecinos peso: distance metrica: euclidean,18
ball_tree,KNN con 1 vecinos peso: uniform metrica: minkowski,19
ball_tree,KNN con 2 vecinos peso: uniform metrica: minkowski,11
ball_tree,KNN con 3 vecinos peso: uniform metrica: minkowski,20
ball_tree,KNN con 4 vecinos peso: uniform metrica: minkowski,11
ball_tree,KNN con 5 vecinos peso: uniform metrica: minkowski,22
ball_tree,KNN con 6 vecinos peso: uniform metrica: minkowski,12
ball_tree,KNN con 7 vecinos peso: uniform metrica: minkowski,21
ball_tree,KNN con 8 vecinos peso: uniform metrica: minkowski,17
ball_tree,KNN con 9 vecinos peso: uniform metrica: minkowski,22
ball_tree,KNN con 1 vecinos peso: uniform metrica: euclidean,19
ball_tree,KNN con 2 vecinos peso: uniform metrica: euclidean,11
ball_tree,KNN con 3 vecinos peso: uniform metrica: euclidean,20
ball_tree,KNN con 4 vecinos peso: uniform metrica: euclidean,11
ball_tree,KNN con 5 vecinos peso: uniform metrica: euclidean,22
ball_tree,KNN con 6 vecinos peso: uniform metrica: euclidean,12
ball_tree,KNN con 7 vecinos peso: uniform metrica: euclidean,21
ball_tree,KNN con 8 vecinos peso: uniform metrica: euclidean,17
ball_tree,KNN con 9 vecinos peso: uniform metrica: euclidean,22
ball_tree,KNN con 1 vecinos peso: distance metrica: minkowski,19
ball_tree,KNN con 2 vecinos peso: distance metrica: minkowski,19
ball_tree,KNN con 3 vecinos peso: distance metrica: minkowski,19
ball_tree,KNN con 4 vecinos peso: distance metrica: minkowski,20
ball_tree,KNN con 5 vecinos peso: distance metrica: minkowski,19
ball_tree,KNN con 6 vecinos peso: distance metrica: minkowski,19
ball_tree,KNN con 7 vecinos peso: distance metrica: minkowski,19
ball_tree,KNN con 8 vecinos peso: distance metrica: minkowski,19
ball_tree,KNN con 9 vecinos peso: distance metrica: minkowski,18
ball_tree,KNN con 1 vecinos peso: distance metrica: euclidean,19
ball_tree,KNN con 2 vecinos peso: distance metrica: euclidean,19
ball_tree,KNN con 3 vecinos peso: distance metrica: euclidean,19
ball_tree,KNN con 4 vecinos peso: distance metrica: euclidean,20
ball_tree,KNN con 5 vecinos peso: distance metrica: euclidean,19
ball_tree,KNN con 6 vecinos peso: distance metrica: euclidean,19
ball_tree,KNN con 7 vecinos peso: distance metrica: euclidean,19
ball_tree,KNN con 8 vecinos peso: distance metrica: euclidean,19
ball_tree,KNN con 9 vecinos peso: distance metrica: euclidean,18
kd_tree,KNN con 1 vecinos peso: uniform metrica: minkowski,19
kd_tree,KNN con 2 vecinos peso: uniform metrica: minkowski,11
kd_tree,KNN con 3 vecinos peso: uniform metrica: minkowski,20
kd_tree,KNN con 4 vecinos peso: uniform metrica: minkowski,11
kd_tree,KNN con 5 vecinos peso: uniform metrica: minkowski,22
kd_tree,KNN con 6 vecinos peso: uniform metrica: minkowski,12
kd_tree,KNN con 7 vecinos peso: uniform metrica: minkowski,21
kd_tree,KNN con 8 vecinos peso: uniform metrica: minkowski,17
kd_tree,KNN con 9 vecinos peso: uniform metrica: minkowski,22
kd_tree,KNN con 1 vecinos peso: uniform metrica: euclidean,19
kd_tree,KNN con 2 vecinos peso: uniform metrica: euclidean,11
kd_tree,KNN con 3 vecinos peso: uniform metrica: euclidean,20
kd_tree,KNN con 4 vecinos peso: uniform metrica: euclidean,11
kd_tree,KNN con 5 vecinos peso: uniform metrica: euclidean,22
kd_tree,KNN con 6 vecinos peso: uniform metrica: euclidean,12
kd_tree,KNN con 7 vecinos peso: uniform metrica: euclidean,21
kd_tree,KNN con 8 vecinos peso: uniform metrica: euclidean,17
kd_tree,KNN con 9 vecinos peso: uniform metrica: euclidean,22
kd_tree,KNN con 1 vecinos peso: distance metrica: minkowski,19
kd_tree,KNN con 2 vecinos peso: distance metrica: minkowski,19
kd_tree,KNN con 3 vecinos peso: distance metrica: minkowski,19
kd_tree,KNN con 4 vecinos peso: distance metrica: minkowski,20
kd_tree,KNN con 5 vecinos peso: distance metrica: minkowski,19
kd_tree,KNN con 6 vecinos peso: distance metrica: minkowski,19
kd_tree,KNN con 7 vecinos peso: distance metrica: minkowski,19
kd_tree,KNN con 8 vecinos peso: distance metrica: minkowski,19
kd_tree,KNN con 9 vecinos peso: distance metrica: minkowski,18
kd_tree,KNN con 1 vecinos peso: distance metrica: euclidean,19
kd_tree,KNN con 2 vecinos peso: distance metrica: euclidean,19
kd_tree,KNN con 3 vecinos peso: distance metrica: euclidean,19
kd_tree,KNN con 4 vecinos peso: distance metrica: euclidean,20
kd_tree,KNN con 5 vecinos peso: distance metrica: euclidean,19
kd_tree,KNN con 6 vecinos peso: distance metrica: euclidean,19
kd_tree,KNN con 7 vecinos peso: distance metrica: euclidean,19
kd_tree,KNN con 8 vecinos peso: distance metrica: euclidean,19
kd_tree,KNN con 9 vecinos peso: distance metrica: euclidean,18
brute,KNN con 1 vecinos peso: uniform metrica: minkowski,19
brute,KNN con 2 vecinos peso: uniform metrica: minkowski,11
brute,KNN con 3 vecinos peso: uniform metrica: minkowski,20
brute,KNN con 4 vecinos peso: uniform metrica: minkowski,11
brute,KNN con 5 vecinos peso: uniform metrica: minkowski,22
brute,KNN con 6 vecinos peso: uniform metrica: minkowski,12
brute,KNN con 7 vecinos peso: uniform metrica: minkowski,21
brute,KNN con 8 vecinos peso: uniform metrica: minkowski,17
brute,KNN con 9 vecinos peso: uniform metrica: minkowski,22
brute,KNN con 1 vecinos peso: uniform metrica: euclidean,19
brute,KNN con 2 vecinos peso: uniform metrica: euclidean,11
brute,KNN con 3 vecinos peso: uniform metrica: euclidean,20
brute,KNN con 4 vecinos peso: uniform metrica: euclidean,11
brute,KNN con 5 vecinos peso: uniform metrica: euclidean,22
brute,KNN con 6 vecinos peso: uniform metrica: euclidean,12
brute,KNN con 7 vecinos peso: uniform metrica: euclidean,21
brute,KNN con 8 vecinos peso: uniform metrica: euclidean,17
brute,KNN con 9 vecinos peso: uniform metrica: euclidean,22
brute,KNN con 1 vecinos peso: distance metrica: minkowski,19
brute,KNN con 2 vecinos peso: distance metrica: minkowski,19
brute,KNN con 3 vecinos peso: distance metrica: minkowski,19
brute,KNN con 4 vecinos peso: distance metrica: minkowski,20
brute,KNN con 5 vecinos peso: distance metrica: minkowski,19
brute,KNN con 6 vecinos peso: distance metrica: minkowski,19
brute,KNN con 7 vecinos peso: distance metrica: minkowski,19
brute,KNN con 8 vecinos peso: distance metrica: minkowski,19
brute,KNN con 9 vecinos peso: distance metrica: minkowski,18
brute,KNN con 1 vecinos peso: distance metrica: euclidean,19
brute,KNN con 2 vecinos peso: distance metrica: euclidean,19
brute,KNN con 3 vecinos peso: distance metrica: euclidean,19
brute,KNN con 4 vecinos peso: distance metrica: euclidean,20
brute,KNN con 5 vecinos peso: distance metrica: euclidean,19
brute,KNN con 6 vecinos peso: distance metrica: euclidean,19
brute,KNN con 7 vecinos peso: distance metrica: euclidean,19
brute,KNN con 8 vecinos peso: distance metrica: euclidean,19
brute,KNN con 9 vecinos peso: distance metrica: euclidean,18
gini,DecisionTreeClassifier splitter:best,17
gini,DecisionTreeClassifier splitter:random,20
entropy,DecisionTreeClassifier splitter:best,16
entropy,DecisionTreeClassifier splitter:random,17
10,GradientBoostingClassifier,19
20,GradientBoostingClassifier,16
50,GradientBoostingClassifier,21
100,GradientBoostingClassifier,18
150,GradientBoostingClassifier,16
200,GradientBoostingClassifier,18
250,GradientBoostingClassifier,17
500,GradientBoostingClassifier,18
750,GradientBoostingClassifier,16
1000,GradientBoostingClassifier,16
1500,GradientBoostingClassifier,17
linear,nuSVC,26
poly,nuSVC,19
rbf,nuSVC,19
sigmoid,nuSVC,18
linear,SVC,31
poly,SVC,20
rbf,SVC,25
sigmoid,SVC,15
gini,"RandomForest, n_estimators: 10",19
gini,"RandomForest, n_estimators: 20",19
gini,"RandomForest, n_estimators: 50",20
gini,"RandomForest, n_estimators: 100",19
gini,"RandomForest, n_estimators: 150",18
gini,"RandomForest, n_estimators: 200",20
gini,"RandomForest, n_estimators: 250",20
gini,"RandomForest, n_estimators: 500",21
gini,"RandomForest, n_estimators: 750",22
gini,"RandomForest, n_estimators: 1000",19
