Algorithm,Description,accuracy
GaussianNB,Naive Bayes algoritmo,0.479166666667
BernoulliNB,Naive Bayes algoritmo,0.696428571429
SAMME,AdaBoostClassifier con 10 estimadores,0.633928571429
SAMME,AdaBoostClassifier con 20 estimadores,0.699404761905
SAMME,AdaBoostClassifier con 50 estimadores,0.657738095238
SAMME,AdaBoostClassifier con 100 estimadores,0.633928571429
SAMME,AdaBoostClassifier con 150 estimadores,0.58630952381
SAMME,AdaBoostClassifier con 200 estimadores,0.565476190476
SAMME,AdaBoostClassifier con 250 estimadores,0.607142857143
SAMME,AdaBoostClassifier con 500 estimadores,0.565476190476
SAMME,AdaBoostClassifier con 750 estimadores,0.58630952381
SAMME,AdaBoostClassifier con 1000 estimadores,0.58630952381
SAMME,AdaBoostClassifier con 1500 estimadores,0.589285714286
SAMME.R,AdaBoostClassifier con 10 estimadores,0.633928571429
SAMME.R,AdaBoostClassifier con 20 estimadores,0.613095238095
SAMME.R,AdaBoostClassifier con 50 estimadores,0.630952380952
SAMME.R,AdaBoostClassifier con 100 estimadores,0.651785714286
SAMME.R,AdaBoostClassifier con 150 estimadores,0.651785714286
SAMME.R,AdaBoostClassifier con 200 estimadores,0.654761904762
SAMME.R,AdaBoostClassifier con 250 estimadores,0.651785714286
SAMME.R,AdaBoostClassifier con 500 estimadores,0.654761904762
SAMME.R,AdaBoostClassifier con 750 estimadores,0.607142857143
SAMME.R,AdaBoostClassifier con 1000 estimadores,0.565476190476
SAMME.R,AdaBoostClassifier con 1500 estimadores,0.589285714286
auto,KNN con 1 vecinos peso: uniform metrica: minkowski,0.58630952381
auto,KNN con 2 vecinos peso: uniform metrica: minkowski,0.693452380952
auto,KNN con 3 vecinos peso: uniform metrica: minkowski,0.610119047619
auto,KNN con 4 vecinos peso: uniform metrica: minkowski,0.654761904762
auto,KNN con 5 vecinos peso: uniform metrica: minkowski,0.58630952381
auto,KNN con 6 vecinos peso: uniform metrica: minkowski,0.675595238095
auto,KNN con 7 vecinos peso: uniform metrica: minkowski,0.675595238095
auto,KNN con 8 vecinos peso: uniform metrica: minkowski,0.696428571429
auto,KNN con 9 vecinos peso: uniform metrica: minkowski,0.696428571429
