Algorithm,Description,Accuracy_Mean
SAMME,10- AdaBoostClassifier,0.625
SAMME,20- AdaBoostClassifier,0.589285714286
SAMME,50- AdaBoostClassifier,0.607142857143
SAMME,100- AdaBoostClassifier,0.607142857143
SAMME,150- AdaBoostClassifier,0.571428571429
SAMME,200- AdaBoostClassifier,0.571428571429
SAMME,250- AdaBoostClassifier,0.607142857143
SAMME,500- AdaBoostClassifier,0.607142857143
SAMME,750- AdaBoostClassifier,0.607142857143
SAMME,1000- AdaBoostClassifier,0.607142857143
SAMME,1500- AdaBoostClassifier,0.607142857143
SAMME.R,10- AdaBoostClassifier,0.642857142857
SAMME.R,20- AdaBoostClassifier,0.607142857143
SAMME.R,50- AdaBoostClassifier,0.535714285714
SAMME.R,100- AdaBoostClassifier,0.607142857143
SAMME.R,150- AdaBoostClassifier,0.588214285714
SAMME.R,200- AdaBoostClassifier,0.571428571429
SAMME.R,250- AdaBoostClassifier,0.607142857143
SAMME.R,500- AdaBoostClassifier,0.6075
SAMME.R,750- AdaBoostClassifier,0.608214285714
SAMME.R,1000- AdaBoostClassifier,0.6075
SAMME.R,1500- AdaBoostClassifier,0.607142857143
Naive Bayes,GaussianNB,0.428571428571
Naive Bayes,BernoulliNB,0.607142857143
SVC,linear,0.607142857143
SVC,poly,0.607142857143
SVC,rbf,0.785714285714
SVC,sigmoid,0.607142857143
RandomForestClassifier,gini - 10,0.714285714286
RandomForestClassifier,gini - 20,0.642857142857
RandomForestClassifier,gini - 50,0.678571428571
RandomForestClassifier,gini - 100,0.642857142857
RandomForestClassifier,gini - 150,0.642857142857
RandomForestClassifier,gini - 200,0.642857142857
RandomForestClassifier,gini - 250,0.642857142857
RandomForestClassifier,gini - 500,0.607142857143
RandomForestClassifier,gini - 750,0.607142857143
RandomForestClassifier,gini - 1000,0.642857142857
RandomForestClassifier,gini - 1500,0.607142857143
RandomForestClassifier,entropy - 10,0.571428571429
RandomForestClassifier,entropy - 20,0.607142857143
RandomForestClassifier,entropy - 50,0.642857142857
RandomForestClassifier,entropy - 100,0.607142857143
RandomForestClassifier,entropy - 150,0.607142857143
RandomForestClassifier,entropy - 200,0.607142857143
RandomForestClassifier,entropy - 250,0.607142857143
RandomForestClassifier,entropy - 500,0.607142857143
RandomForestClassifier,entropy - 750,0.607142857143
RandomForestClassifier,entropy - 1000,0.607142857143
RandomForestClassifier,entropy - 1500,0.607142857143
NuSVC,kernel: linear,0.642857142857
NuSVC,kernel: poly,0.714285714286
NuSVC,kernel: rbf,0.714285714286
NuSVC,kernel: sigmoid,0.428571428571
GradientBoostingClassifier,GradientBoostingClassifier 20,0.445
GradientBoostingClassifier,GradientBoostingClassifier 50,0.4425
gini,DecisionTreeClassifier gini best,0.5
gini,DecisionTreeClassifier gini random,0.5
entropy,DecisionTreeClassifier entropy best,0.5
