algorithm,description,validation,accuracy,group,iterator
Naive Bayes,BernoulliNB,LOU,0.760869565217,Z,3
NuSVC,kernel: sigmoid,LOU,0.760869565217,Z,3
Naive Bayes,BernoulliNB,LOU,0.760869565217,Z,3
NuSVC,kernel: sigmoid,LOU,0.760869565217,Z,3
Naive Bayes,BernoulliNB,LOU,0.760869565217,Z,3
NuSVC,kernel: sigmoid,LOU,0.760869565217,Z,3
Naive Bayes,BernoulliNB,LOU,0.760869565217,Z,3
NuSVC,kernel: sigmoid,LOU,0.760869565217,Z,3
Naive Bayes,BernoulliNB,LOU,0.760869565217,Z,3
NuSVC,kernel: sigmoid,LOU,0.760869565217,Z,3
brute,minkowski-uniform KNN: 4,LOU,0.760869565217,Z,4
brute,euclidean-uniform KNN: 4,LOU,0.760869565217,Z,4
brute,minkowski-uniform KNN: 4,LOU,0.760869565217,Z,4
brute,euclidean-uniform KNN: 4,LOU,0.760869565217,Z,4
brute,minkowski-uniform KNN: 4,LOU,0.760869565217,Z,4
brute,euclidean-uniform KNN: 4,LOU,0.760869565217,Z,4
brute,minkowski-uniform KNN: 4,LOU,0.760869565217,Z,4
brute,euclidean-uniform KNN: 4,LOU,0.760869565217,Z,4
brute,minkowski-uniform KNN: 4,LOU,0.760869565217,Z,4
brute,euclidean-uniform KNN: 4,LOU,0.760869565217,Z,4
SAMME.R,50- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,150- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,200- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,50- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,150- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,200- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,50- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,150- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,200- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,50- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,150- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,200- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,50- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,150- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,200- AdaBoostClassifier,LOU,0.760869565217,Z,23
SAMME.R,10- AdaBoostClassifier,LOU,0.760869565217,Z,66
SAMME.R,10- AdaBoostClassifier,LOU,0.760869565217,Z,66
SAMME.R,10- AdaBoostClassifier,LOU,0.760869565217,Z,66
SAMME.R,10- AdaBoostClassifier,LOU,0.760869565217,Z,66
SAMME.R,10- AdaBoostClassifier,LOU,0.760869565217,Z,66
SVC,poly,LOU,0.760869565217,Z,71
NuSVC,kernel: sigmoid,LOU,0.760869565217,Z,71
SVC,poly,LOU,0.760869565217,Z,71
NuSVC,kernel: sigmoid,LOU,0.760869565217,Z,71
SVC,poly,LOU,0.760869565217,Z,71
NuSVC,kernel: sigmoid,LOU,0.760869565217,Z,71
SVC,poly,LOU,0.760869565217,Z,71
NuSVC,kernel: sigmoid,LOU,0.760869565217,Z,71
SVC,poly,LOU,0.760869565217,Z,71
NuSVC,kernel: sigmoid,LOU,0.760869565217,Z,71
gini,DecisionTreeClassifier gini random,LOU,0.782608695652,Z,75
SAMME.R,200- AdaBoostClassifier,LOU,0.782608695652,Z,75
SAMME.R,250- AdaBoostClassifier,LOU,0.782608695652,Z,75
RandomForestClassifier,gini - 10,LOU,0.760869565217,Z,82
RandomForestClassifier,entropy - 10,LOU,0.760869565217,Z,82
