algorithm,description,validation,Accuracy,Recall,Precision,Hamming,F,Cohen
Naive Bayes,GaussianNB,LOU,0.373134328358209,0.373134328358209,0.2835820895522388,0.6268656716417911,0.2835820895522388,
Naive Bayes,BernoulliNB,LOU,0.6865671641791045,0.6865671641791045,0.16417910447761194,0.31343283582089554,0.16417910447761194,
SVC,linear,LOU,0.5522388059701493,0.5522388059701493,0.0,0.44776119402985076,0.0,
SVC,poly,LOU,0.6119402985074627,0.6119402985074627,0.22388059701492538,0.3880597014925373,0.22388059701492538,
SVC,rbf,LOU,0.4626865671641791,0.4626865671641791,0.13432835820895522,0.5373134328358209,0.13432835820895522,
SVC,sigmoid,LOU,0.5223880597014925,0.5223880597014925,0.1044776119402985,0.47761194029850745,0.1044776119402985,
RandomForestClassifier,gini - 10,LOU,0.5671641791044776,0.5671641791044776,0.14925373134328357,0.43283582089552236,0.14925373134328357,
RandomForestClassifier,gini - 20,LOU,0.582089552238806,0.582089552238806,0.14925373134328357,0.417910447761194,0.14925373134328357,
RandomForestClassifier,gini - 50,LOU,0.5970149253731343,0.5970149253731343,0.13432835820895522,0.40298507462686567,0.13432835820895522,
RandomForestClassifier,gini - 100,LOU,0.582089552238806,0.582089552238806,0.14925373134328357,0.417910447761194,0.14925373134328357,
RandomForestClassifier,gini - 150,LOU,0.6119402985074627,0.6119402985074627,0.16417910447761194,0.3880597014925373,0.16417910447761194,
RandomForestClassifier,gini - 200,LOU,0.5970149253731343,0.5970149253731343,0.14925373134328357,0.40298507462686567,0.14925373134328357,
RandomForestClassifier,gini - 250,LOU,0.582089552238806,0.582089552238806,0.14925373134328357,0.417910447761194,0.14925373134328357,
RandomForestClassifier,gini - 500,LOU,0.582089552238806,0.582089552238806,0.13432835820895522,0.417910447761194,0.13432835820895522,
RandomForestClassifier,gini - 750,LOU,0.582089552238806,0.582089552238806,0.13432835820895522,0.417910447761194,0.13432835820895522,
RandomForestClassifier,gini - 1000,LOU,0.582089552238806,0.582089552238806,0.13432835820895522,0.417910447761194,0.13432835820895522,
RandomForestClassifier,gini - 1500,LOU,0.582089552238806,0.582089552238806,0.13432835820895522,0.417910447761194,0.13432835820895522,
RandomForestClassifier,entropy - 10,LOU,0.6119402985074627,0.6119402985074627,0.16417910447761194,0.3880597014925373,0.16417910447761194,
RandomForestClassifier,entropy - 20,LOU,0.5671641791044776,0.5671641791044776,0.13432835820895522,0.43283582089552236,0.13432835820895522,
RandomForestClassifier,entropy - 50,LOU,0.6119402985074627,0.6119402985074627,0.14925373134328357,0.3880597014925373,0.14925373134328357,
RandomForestClassifier,entropy - 100,LOU,0.582089552238806,0.582089552238806,0.14925373134328357,0.417910447761194,0.14925373134328357,
