algoritmo,description,validation,accuracy,recall,precision,neg_log_loss,f1,ftwo_scorer
GaussianNB,Naive Bayes algoritmo,2,0.666666666667,0.5,0.85,-3.23946300501,0.55023923445,0.512013729977
BernoulliNB,Naive Bayes algoritmo,2,0.527777777778,0.555555555556,0.583333333333,-0.700478403811,0.486666666667,0.512820512821
SAMME,AdaBoostClassifier con 10 estimadores,2,0.416666666667,0.222222222222,0.354166666667,-0.69907520923,0.259803921569,0.234557109557
SAMME,AdaBoostClassifier con 20 estimadores,2,0.472222222222,0.277777777778,0.472222222222,-0.694358645526,0.313131313131,0.288011695906
SAMME,AdaBoostClassifier con 50 estimadores,2,0.555555555556,0.277777777778,0.785714285714,-0.684035146311,0.35,0.300125707102
SAMME,AdaBoostClassifier con 100 estimadores,2,0.5,0.222222222222,0.5,-0.685379539254,0.290909090909,0.244360902256
SAMME,AdaBoostClassifier con 150 estimadores,2,0.5,0.222222222222,0.5,-0.685148584845,0.290909090909,0.244360902256
SAMME,AdaBoostClassifier con 200 estimadores,2,0.5,0.222222222222,0.5,-0.686565429594,0.290909090909,0.244360902256
SAMME,AdaBoostClassifier con 250 estimadores,2,0.5,0.222222222222,0.5,-0.686368795997,0.290909090909,0.244360902256
SAMME,AdaBoostClassifier con 500 estimadores,2,0.527777777778,0.277777777778,0.535714285714,-0.686208082964,0.340909090909,0.298347613219
SAMME,AdaBoostClassifier con 750 estimadores,2,0.527777777778,0.277777777778,0.535714285714,-0.685205141876,0.340909090909,0.298347613219
SAMME,AdaBoostClassifier con 1000 estimadores,2,0.527777777778,0.277777777778,0.535714285714,-0.685462012023,0.340909090909,0.298347613219
SAMME,AdaBoostClassifier con 1500 estimadores,2,0.527777777778,0.277777777778,0.535714285714,-0.686052630644,0.340909090909,0.298347613219
SAMME.R,AdaBoostClassifier con 10 estimadores,2,0.416666666667,0.111111111111,0.166666666667,-2.50413928608,0.133333333333,0.119047619048
SAMME.R,AdaBoostClassifier con 20 estimadores,2,0.527777777778,0.111111111111,0.333333333333,-2.62293026728,0.25,0.128205128205
SAMME.R,AdaBoostClassifier con 50 estimadores,2,0.527777777778,0.166666666667,0.375,-2.88922893844,0.230769230769,0.1875
SAMME.R,AdaBoostClassifier con 100 estimadores,2,0.611111111111,0.222222222222,0.65,-2.68807523652,0.340909090909,0.309691912709
