algorithm,desc,actualScore,new score
MLPClassifier,logistic-sgd-invscaling (10-10-15),0.75,0.431034482759
MLPClassifier,identity-sgd-invscaling (5-5-10),0.7,0.568965517241
MLPClassifier,logistic-sgd-invscaling (5-15-15),0.7,0.431034482759
MLPClassifier,tanh-sgd-invscaling (10-5-15),0.7,0.551724137931
MLPClassifier,tanh-sgd-invscaling (15-5-10),0.7,0.431034482759
MLPClassifier,relu-sgd-invscaling (15-10-5),0.7,0.431034482759
MLPClassifier,relu-sgd-invscaling (15-15-5),0.7,0.568965517241
Naive Bayes,BernoulliNB,0.65,0.465517241379
MLPClassifier,identity-sgd-invscaling (5-15-10),0.65,0.551724137931
MLPClassifier,identity-sgd-invscaling (5-15-15),0.65,0.448275862069
