algorithm,description,validation,Accuracy,Recall,Precision
MLPClassifier,identity-lbfgs-constant (5-5-5),LOU,0.55,0.35,0.3
MLPClassifier,identity-lbfgs-constant (5-5-10),LOU,0.45,0.25,0.25
MLPClassifier,identity-lbfgs-constant (5-5-15),LOU,0.5,0.3,0.35
MLPClassifier,identity-lbfgs-constant (5-10-5),LOU,0.45,0.35,0.3
MLPClassifier,identity-lbfgs-constant (5-10-10),LOU,0.55,0.3,0.3
MLPClassifier,identity-lbfgs-constant (5-10-15),LOU,0.5,0.25,0.35
MLPClassifier,identity-lbfgs-constant (5-15-5),LOU,0.45,0.25,0.3
MLPClassifier,identity-lbfgs-constant (5-15-10),LOU,0.5,0.35,0.3
MLPClassifier,identity-lbfgs-constant (5-15-15),LOU,0.5,0.3,0.3
MLPClassifier,identity-lbfgs-constant (10-5-5),LOU,0.5,0.35,0.35
MLPClassifier,identity-lbfgs-constant (10-5-10),LOU,0.5,0.35,0.25
MLPClassifier,identity-lbfgs-constant (10-5-15),LOU,0.45,0.35,0.3
MLPClassifier,identity-lbfgs-constant (10-10-5),LOU,0.45,0.3,0.25
MLPClassifier,identity-lbfgs-constant (10-10-10),LOU,0.5,0.35,0.25
MLPClassifier,identity-lbfgs-constant (10-10-15),LOU,0.5,0.35,0.35
MLPClassifier,identity-lbfgs-constant (10-15-5),LOU,0.45,0.3,0.35
MLPClassifier,identity-lbfgs-constant (10-15-10),LOU,0.5,0.35,0.25
MLPClassifier,identity-lbfgs-constant (10-15-15),LOU,0.5,0.3,0.35
MLPClassifier,identity-lbfgs-constant (15-5-5),LOU,0.45,0.2,0.3
MLPClassifier,identity-lbfgs-constant (15-5-10),LOU,0.45,0.3,0.3
MLPClassifier,identity-lbfgs-constant (15-5-15),LOU,0.45,0.25,0.35
MLPClassifier,identity-lbfgs-constant (15-10-5),LOU,0.45,0.35,0.35
MLPClassifier,identity-lbfgs-constant (15-10-10),LOU,0.5,0.35,0.35
MLPClassifier,identity-lbfgs-constant (15-10-15),LOU,0.5,0.25,0.3
MLPClassifier,identity-lbfgs-constant (15-15-5),LOU,0.45,0.3,0.3
MLPClassifier,identity-lbfgs-constant (15-15-10),LOU,0.45,0.3,0.3
MLPClassifier,identity-lbfgs-constant (15-15-15),LOU,0.45,0.3,0.3
