Algorithm,Description,Accuracy
MLPClassifier,identity-sgd-constant (5-15-5),0.8
MLPClassifier,identity-sgd-constant (10-15-10),0.8
MLPClassifier,identity-sgd-constant (15-10-10),0.8
MLPClassifier,identity-sgd-invscaling (5-15-10),0.8
MLPClassifier,identity-sgd-invscaling (10-5-10),0.8
MLPClassifier,identity-sgd-adaptive (10-15-10),0.8
MLPClassifier,logistic-sgd-invscaling (10-15-5),0.8
MLPClassifier,tanh-sgd-invscaling (5-15-15),0.8
MLPClassifier,relu-adam-constant (5-5-10),0.8
MLPClassifier,relu-adam-constant (10-5-10),0.8
MLPClassifier,relu-adam-constant (15-15-5),0.8
MLPClassifier,relu-adam-invscaling (5-5-15),0.9
MLPClassifier,relu-adam-invscaling (5-15-5),0.8
MLPClassifier,relu-adam-invscaling (10-10-10),0.8
