Algorithm,Description,Accuracy
NuSVC,kernel: rbf,0.666666666667
auto,minkowski-uniform KNN: 2,0.717948717949
auto,euclidean-uniform KNN: 2,0.717948717949
ball_tree,minkowski-uniform KNN: 2,0.717948717949
ball_tree,euclidean-uniform KNN: 2,0.717948717949
kd_tree,minkowski-uniform KNN: 2,0.717948717949
kd_tree,euclidean-uniform KNN: 2,0.717948717949
brute,minkowski-uniform KNN: 2,0.717948717949
brute,euclidean-uniform KNN: 2,0.717948717949
MLPClassifier,logistic-lbfgs-constant (15-5-10),0.666666666667
MLPClassifier,logistic-lbfgs-adaptive (5-10-5),0.666666666667
MLPClassifier,tanh-lbfgs-constant (5-15-5),0.666666666667
MLPClassifier,tanh-lbfgs-constant (10-5-10),0.666666666667
MLPClassifier,tanh-lbfgs-constant (10-5-15),0.692307692308
MLPClassifier,tanh-lbfgs-constant (10-10-5),0.666666666667
MLPClassifier,tanh-lbfgs-constant (10-15-15),0.692307692308
MLPClassifier,tanh-lbfgs-constant (15-10-10),0.666666666667
MLPClassifier,tanh-lbfgs-invscaling (5-10-5),0.666666666667
MLPClassifier,tanh-lbfgs-invscaling (15-15-10),0.74358974359
MLPClassifier,tanh-lbfgs-adaptive (15-10-15),0.666666666667
MLPClassifier,relu-lbfgs-invscaling (15-5-5),0.692307692308
MLPClassifier,relu-lbfgs-invscaling (15-5-15),0.717948717949
MLPClassifier,relu-lbfgs-adaptive (5-15-15),0.717948717949
MLPClassifier,relu-sgd-invscaling (15-5-15),0.666666666667
MLPClassifier,relu-sgd-invscaling (15-15-10),0.666666666667
MLPClassifier,relu-adam-constant (5-10-5),0.666666666667
MLPClassifier,relu-adam-invscaling (5-10-5),0.692307692308
