algorithm,description,validation,Accuracy,Recall,Precision,Hamming,F,Cohen
Naive Bayes,GaussianNB,LOU,0.5344827586206896,0.5344827586206896,0.1724137931034483,0.46551724137931033,0.1724137931034483,
Naive Bayes,BernoulliNB,LOU,0.3620689655172414,0.3620689655172414,0.2413793103448276,0.6379310344827587,0.2413793103448276,
SVC,linear,LOU,0.5689655172413793,0.5689655172413793,0.5689655172413793,0.43103448275862066,0.5689655172413793,
SVC,poly,LOU,0.6551724137931034,0.6551724137931034,0.43103448275862066,0.3448275862068966,0.43103448275862066,
SVC,rbf,LOU,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.5862068965517241,0.41379310344827586,
SVC,sigmoid,LOU,0.7068965517241379,0.7068965517241379,0.5344827586206896,0.29310344827586204,0.5344827586206896,
RandomForestClassifier,gini - 10,LOU,0.603448275862069,0.603448275862069,0.3448275862068966,0.39655172413793105,0.3448275862068966,
RandomForestClassifier,gini - 20,LOU,0.6379310344827587,0.6379310344827587,0.3620689655172414,0.3620689655172414,0.3620689655172414,
RandomForestClassifier,gini - 50,LOU,0.6551724137931034,0.6551724137931034,0.41379310344827586,0.3448275862068966,0.41379310344827586,
RandomForestClassifier,gini - 100,LOU,0.6551724137931034,0.6551724137931034,0.39655172413793105,0.3448275862068966,0.39655172413793105,
RandomForestClassifier,gini - 150,LOU,0.6206896551724138,0.6206896551724138,0.39655172413793105,0.3793103448275862,0.39655172413793105,
RandomForestClassifier,gini - 200,LOU,0.603448275862069,0.603448275862069,0.39655172413793105,0.39655172413793105,0.39655172413793105,
RandomForestClassifier,gini - 250,LOU,0.6206896551724138,0.6206896551724138,0.39655172413793105,0.3793103448275862,0.39655172413793105,
RandomForestClassifier,gini - 500,LOU,0.6206896551724138,0.6206896551724138,0.39655172413793105,0.3793103448275862,0.39655172413793105,
RandomForestClassifier,gini - 750,LOU,0.6206896551724138,0.6206896551724138,0.39655172413793105,0.3793103448275862,0.39655172413793105,
RandomForestClassifier,gini - 1000,LOU,0.603448275862069,0.603448275862069,0.39655172413793105,0.39655172413793105,0.39655172413793105,
RandomForestClassifier,gini - 1500,LOU,0.6206896551724138,0.6206896551724138,0.41379310344827586,0.3793103448275862,0.41379310344827586,
RandomForestClassifier,entropy - 10,LOU,0.6206896551724138,0.6206896551724138,0.3620689655172414,0.3793103448275862,0.3620689655172414,
RandomForestClassifier,entropy - 20,LOU,0.6724137931034483,0.6724137931034483,0.39655172413793105,0.3275862068965517,0.39655172413793105,
RandomForestClassifier,entropy - 50,LOU,0.6379310344827587,0.6379310344827587,0.39655172413793105,0.3620689655172414,0.39655172413793105,
RandomForestClassifier,entropy - 100,LOU,0.6551724137931034,0.6551724137931034,0.39655172413793105,0.3448275862068966,0.39655172413793105,
RandomForestClassifier,entropy - 150,LOU,0.6379310344827587,0.6379310344827587,0.39655172413793105,0.3620689655172414,0.39655172413793105,
RandomForestClassifier,entropy - 200,LOU,0.6206896551724138,0.6206896551724138,0.39655172413793105,0.3793103448275862,0.39655172413793105,
RandomForestClassifier,entropy - 250,LOU,0.6379310344827587,0.6379310344827587,0.41379310344827586,0.3620689655172414,0.41379310344827586,
RandomForestClassifier,entropy - 500,LOU,0.6379310344827587,0.6379310344827587,0.39655172413793105,0.3620689655172414,0.39655172413793105,
RandomForestClassifier,entropy - 750,LOU,0.603448275862069,0.603448275862069,0.39655172413793105,0.39655172413793105,0.39655172413793105,
RandomForestClassifier,entropy - 1000,LOU,0.603448275862069,0.603448275862069,0.39655172413793105,0.39655172413793105,0.39655172413793105,
RandomForestClassifier,entropy - 1500,LOU,0.603448275862069,0.603448275862069,0.39655172413793105,0.39655172413793105,0.39655172413793105,
NuSVC,kernel: linear,LOU,0.43103448275862066,0.43103448275862066,0.29310344827586204,0.5689655172413793,0.29310344827586204,
NuSVC,kernel: poly,LOU,0.6551724137931034,0.6551724137931034,0.43103448275862066,0.3448275862068966,0.43103448275862066,
NuSVC,kernel: rbf,LOU,0.5,0.5,0.39655172413793105,0.5,0.39655172413793105,
NuSVC,kernel: sigmoid,LOU,0.5344827586206896,0.5344827586206896,0.27586206896551724,0.46551724137931033,0.27586206896551724,
GradientBoostingClassifier,GradientBoostingClassifier 10,LOU,0.6724137931034483,0.6724137931034483,0.41379310344827586,0.3275862068965517,0.41379310344827586,
GradientBoostingClassifier,GradientBoostingClassifier 20,LOU,0.6551724137931034,0.6551724137931034,0.41379310344827586,0.3448275862068966,0.41379310344827586,
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.6551724137931034,0.6551724137931034,0.41379310344827586,0.3448275862068966,0.41379310344827586,
GradientBoostingClassifier,GradientBoostingClassifier 100,LOU,0.6896551724137931,0.6896551724137931,0.43103448275862066,0.3103448275862069,0.43103448275862066,
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.6551724137931034,0.6551724137931034,0.39655172413793105,0.3448275862068966,0.39655172413793105,
GradientBoostingClassifier,GradientBoostingClassifier 200,LOU,0.6379310344827587,0.6379310344827587,0.39655172413793105,0.3620689655172414,0.39655172413793105,
GradientBoostingClassifier,GradientBoostingClassifier 250,LOU,0.6724137931034483,0.6724137931034483,0.43103448275862066,0.3275862068965517,0.43103448275862066,
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.6551724137931034,0.6551724137931034,0.41379310344827586,0.3448275862068966,0.41379310344827586,
GradientBoostingClassifier,GradientBoostingClassifier 750,LOU,0.6724137931034483,0.6724137931034483,0.43103448275862066,0.3275862068965517,0.43103448275862066,
GradientBoostingClassifier,GradientBoostingClassifier 1000,LOU,0.6724137931034483,0.6724137931034483,0.43103448275862066,0.3275862068965517,0.43103448275862066,
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.6551724137931034,0.6551724137931034,0.41379310344827586,0.3448275862068966,0.41379310344827586,
gini,DecisionTreeClassifier gini best,LOU,0.7586206896551724,0.7586206896551724,0.43103448275862066,0.2413793103448276,0.43103448275862066,
gini,DecisionTreeClassifier gini random,LOU,0.6379310344827587,0.6379310344827587,0.39655172413793105,0.3620689655172414,0.39655172413793105,
entropy,DecisionTreeClassifier entropy best,LOU,0.6379310344827587,0.6379310344827587,0.39655172413793105,0.3620689655172414,0.39655172413793105,
entropy,DecisionTreeClassifier entropy random,LOU,0.603448275862069,0.603448275862069,0.41379310344827586,0.39655172413793105,0.41379310344827586,
SAMME,10- AdaBoostClassifier,LOU,0.5517241379310345,0.5517241379310345,0.3620689655172414,0.4482758620689655,0.3620689655172414,
SAMME,20- AdaBoostClassifier,LOU,0.5689655172413793,0.5689655172413793,0.3448275862068966,0.43103448275862066,0.3448275862068966,
SAMME,50- AdaBoostClassifier,LOU,0.5689655172413793,0.5689655172413793,0.3620689655172414,0.43103448275862066,0.3620689655172414,
SAMME,100- AdaBoostClassifier,LOU,0.5344827586206896,0.5344827586206896,0.3448275862068966,0.46551724137931033,0.3448275862068966,
SAMME,150- AdaBoostClassifier,LOU,0.5517241379310345,0.5517241379310345,0.3448275862068966,0.4482758620689655,0.3448275862068966,
