algorithm,description,validation,Accuracy,Recall,Precision,Hamming,F,Cohen
Naive Bayes,GaussianNB,LOU,0.625,0.625,0.25,0.375,0.25,
Naive Bayes,BernoulliNB,LOU,0.375,0.375,0.25,0.625,0.25,
SVC,linear,LOU,0.0,0.0,0.0,1.0,0.0,0.0
SVC,poly,LOU,0.5,0.5,0.25,0.5,0.25,
SVC,rbf,LOU,0.0,0.0,0.0,1.0,0.0,0.0
SVC,sigmoid,LOU,0.0,0.0,0.0,1.0,0.0,0.0
RandomForestClassifier,gini - 10,LOU,0.5,0.5,0.25,0.5,0.25,
RandomForestClassifier,gini - 20,LOU,0.125,0.125,0.0,0.875,0.0,
RandomForestClassifier,gini - 50,LOU,0.25,0.25,0.0,0.75,0.0,
RandomForestClassifier,gini - 100,LOU,0.5,0.5,0.125,0.5,0.125,
RandomForestClassifier,gini - 150,LOU,0.375,0.375,0.0,0.625,0.0,
RandomForestClassifier,gini - 200,LOU,0.375,0.375,0.0,0.625,0.0,
RandomForestClassifier,gini - 250,LOU,0.25,0.25,0.0,0.75,0.0,
RandomForestClassifier,gini - 500,LOU,0.375,0.375,0.0,0.625,0.0,
RandomForestClassifier,gini - 750,LOU,0.375,0.375,0.0,0.625,0.0,
RandomForestClassifier,gini - 1000,LOU,0.375,0.375,0.0,0.625,0.0,
RandomForestClassifier,gini - 1500,LOU,0.25,0.25,0.0,0.75,0.0,
RandomForestClassifier,entropy - 10,LOU,0.5,0.5,0.25,0.5,0.25,
RandomForestClassifier,entropy - 20,LOU,0.125,0.125,0.0,0.875,0.0,
RandomForestClassifier,entropy - 50,LOU,0.25,0.25,0.0,0.75,0.0,
RandomForestClassifier,entropy - 100,LOU,0.5,0.5,0.125,0.5,0.125,
RandomForestClassifier,entropy - 150,LOU,0.375,0.375,0.0,0.625,0.0,
RandomForestClassifier,entropy - 200,LOU,0.375,0.375,0.0,0.625,0.0,
RandomForestClassifier,entropy - 250,LOU,0.25,0.25,0.0,0.75,0.0,
RandomForestClassifier,entropy - 500,LOU,0.25,0.25,0.0,0.75,0.0,
RandomForestClassifier,entropy - 750,LOU,0.375,0.375,0.0,0.625,0.0,
RandomForestClassifier,entropy - 1000,LOU,0.375,0.375,0.0,0.625,0.0,
RandomForestClassifier,entropy - 1500,LOU,0.25,0.25,0.0,0.75,0.0,
NuSVC,kernel: linear,LOU,0.625,0.625,0.375,0.375,0.375,
NuSVC,kernel: poly,LOU,0.5,0.5,0.375,0.5,0.375,
NuSVC,kernel: rbf,LOU,0.125,0.125,0.125,0.875,0.125,
NuSVC,kernel: sigmoid,LOU,0.125,0.125,0.0,0.875,0.0,
GradientBoostingClassifier,GradientBoostingClassifier 10,LOU,0.375,0.375,0.125,0.625,0.125,
GradientBoostingClassifier,GradientBoostingClassifier 20,LOU,0.5,0.5,0.125,0.5,0.125,
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.5,0.5,0.125,0.5,0.125,
GradientBoostingClassifier,GradientBoostingClassifier 100,LOU,0.5,0.5,0.125,0.5,0.125,
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.5,0.5,0.125,0.5,0.125,
GradientBoostingClassifier,GradientBoostingClassifier 200,LOU,0.5,0.5,0.125,0.5,0.125,
GradientBoostingClassifier,GradientBoostingClassifier 250,LOU,0.5,0.5,0.125,0.5,0.125,
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.5,0.5,0.125,0.5,0.125,
GradientBoostingClassifier,GradientBoostingClassifier 750,LOU,0.5,0.5,0.125,0.5,0.125,
GradientBoostingClassifier,GradientBoostingClassifier 1000,LOU,0.5,0.5,0.125,0.5,0.125,
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.5,0.5,0.125,0.5,0.125,
gini,DecisionTreeClassifier gini best,LOU,0.5,0.5,0.25,0.5,0.25,
gini,DecisionTreeClassifier gini random,LOU,0.125,0.125,0.0,0.875,0.0,
entropy,DecisionTreeClassifier entropy best,LOU,0.5,0.5,0.25,0.5,0.25,
entropy,DecisionTreeClassifier entropy random,LOU,0.125,0.125,0.0,0.875,0.0,
SAMME,10- AdaBoostClassifier,LOU,0.5,0.5,0.125,0.5,0.125,
SAMME,20- AdaBoostClassifier,LOU,0.625,0.625,0.25,0.375,0.25,
SAMME,50- AdaBoostClassifier,LOU,0.625,0.625,0.25,0.375,0.25,
SAMME,100- AdaBoostClassifier,LOU,0.625,0.625,0.25,0.375,0.25,
SAMME,150- AdaBoostClassifier,LOU,0.625,0.625,0.25,0.375,0.25,
SAMME,200- AdaBoostClassifier,LOU,0.625,0.625,0.25,0.375,0.25,
SAMME,250- AdaBoostClassifier,LOU,0.75,0.75,0.375,0.25,0.375,
SAMME,500- AdaBoostClassifier,LOU,0.5,0.5,0.125,0.5,0.125,
SAMME,750- AdaBoostClassifier,LOU,0.5,0.5,0.125,0.5,0.125,
SAMME,1000- AdaBoostClassifier,LOU,0.625,0.625,0.25,0.375,0.25,
SAMME,1500- AdaBoostClassifier,LOU,0.75,0.75,0.375,0.25,0.375,
SAMME.R,10- AdaBoostClassifier,LOU,0.625,0.625,0.25,0.375,0.25,
SAMME.R,20- AdaBoostClassifier,LOU,0.5,0.5,0.125,0.5,0.125,
SAMME.R,50- AdaBoostClassifier,LOU,0.5,0.5,0.125,0.5,0.125,
SAMME.R,100- AdaBoostClassifier,LOU,0.5,0.5,0.125,0.5,0.125,
SAMME.R,150- AdaBoostClassifier,LOU,0.375,0.375,0.125,0.625,0.125,
SAMME.R,200- AdaBoostClassifier,LOU,0.375,0.375,0.125,0.625,0.125,
SAMME.R,250- AdaBoostClassifier,LOU,0.375,0.375,0.125,0.625,0.125,
SAMME.R,500- AdaBoostClassifier,LOU,0.5,0.5,0.125,0.5,0.125,
SAMME.R,750- AdaBoostClassifier,LOU,0.5,0.5,0.125,0.5,0.125,
SAMME.R,1000- AdaBoostClassifier,LOU,0.375,0.375,0.125,0.625,0.125,
SAMME.R,1500- AdaBoostClassifier,LOU,0.375,0.375,0.125,0.625,0.125,
auto,minkowski-uniform KNN: 2,LOU,0.5,0.5,0.0,0.5,0.0,
auto,minkowski-uniform KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
auto,minkowski-uniform KNN: 4,LOU,0.25,0.25,0.0,0.75,0.0,
auto,euclidean-uniform KNN: 2,LOU,0.5,0.5,0.0,0.5,0.0,
auto,euclidean-uniform KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
auto,euclidean-uniform KNN: 4,LOU,0.25,0.25,0.0,0.75,0.0,
auto,minkowski-distance KNN: 2,LOU,0.625,0.625,0.25,0.375,0.25,
auto,minkowski-distance KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
auto,minkowski-distance KNN: 4,LOU,0.375,0.375,0.125,0.625,0.125,
auto,euclidean-distance KNN: 2,LOU,0.625,0.625,0.25,0.375,0.25,
auto,euclidean-distance KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
auto,euclidean-distance KNN: 4,LOU,0.375,0.375,0.125,0.625,0.125,
ball_tree,minkowski-uniform KNN: 2,LOU,0.5,0.5,0.0,0.5,0.0,
ball_tree,minkowski-uniform KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
ball_tree,minkowski-uniform KNN: 4,LOU,0.25,0.25,0.0,0.75,0.0,
ball_tree,euclidean-uniform KNN: 2,LOU,0.5,0.5,0.0,0.5,0.0,
ball_tree,euclidean-uniform KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
ball_tree,euclidean-uniform KNN: 4,LOU,0.25,0.25,0.0,0.75,0.0,
ball_tree,minkowski-distance KNN: 2,LOU,0.625,0.625,0.25,0.375,0.25,
ball_tree,minkowski-distance KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
ball_tree,minkowski-distance KNN: 4,LOU,0.375,0.375,0.125,0.625,0.125,
ball_tree,euclidean-distance KNN: 2,LOU,0.625,0.625,0.25,0.375,0.25,
ball_tree,euclidean-distance KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
ball_tree,euclidean-distance KNN: 4,LOU,0.375,0.375,0.125,0.625,0.125,
kd_tree,minkowski-uniform KNN: 2,LOU,0.5,0.5,0.0,0.5,0.0,
kd_tree,minkowski-uniform KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
kd_tree,minkowski-uniform KNN: 4,LOU,0.25,0.25,0.0,0.75,0.0,
kd_tree,euclidean-uniform KNN: 2,LOU,0.5,0.5,0.0,0.5,0.0,
kd_tree,euclidean-uniform KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
kd_tree,euclidean-uniform KNN: 4,LOU,0.25,0.25,0.0,0.75,0.0,
kd_tree,minkowski-distance KNN: 2,LOU,0.625,0.625,0.25,0.375,0.25,
kd_tree,minkowski-distance KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
kd_tree,minkowski-distance KNN: 4,LOU,0.375,0.375,0.125,0.625,0.125,
kd_tree,euclidean-distance KNN: 2,LOU,0.625,0.625,0.25,0.375,0.25,
kd_tree,euclidean-distance KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
kd_tree,euclidean-distance KNN: 4,LOU,0.375,0.375,0.125,0.625,0.125,
brute,minkowski-uniform KNN: 2,LOU,0.5,0.5,0.0,0.5,0.0,
brute,minkowski-uniform KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
brute,minkowski-uniform KNN: 4,LOU,0.25,0.25,0.0,0.75,0.0,
brute,euclidean-uniform KNN: 2,LOU,0.5,0.5,0.0,0.5,0.0,
brute,euclidean-uniform KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
brute,euclidean-uniform KNN: 4,LOU,0.25,0.25,0.0,0.75,0.0,
brute,minkowski-distance KNN: 2,LOU,0.625,0.625,0.25,0.375,0.25,
brute,minkowski-distance KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
brute,minkowski-distance KNN: 4,LOU,0.375,0.375,0.125,0.625,0.125,
brute,euclidean-distance KNN: 2,LOU,0.625,0.625,0.25,0.375,0.25,
brute,euclidean-distance KNN: 3,LOU,0.125,0.125,0.0,0.875,0.0,
brute,euclidean-distance KNN: 4,LOU,0.375,0.375,0.125,0.625,0.125,
